year,week,player_id,player_name,team,position,games_played,fpts,fpts_ppr,fpts_per_game,fpts_ppr_per_game,yds,td
2025.0,12,0ae2acb1fb4c4f76d79f44cdfa57399e,Jude McAtamney,FA,K,4.0,15.0,15.0,3.75,3.8,2.0,2.0
2025.0,12,88f1743321f6a6b606285539a73eade9,Tyler Bass,BUF,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,12,7dd3ba596af0f7815642e31307a23c4b,Lenny Krieg,NYJ,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,12,3ea039fe61c5da271af89e0e4017068d,Andrew Jacas,SF,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,12,6f6429dc4f7a826d559ec168b0d89de8,Connor Hughes,DAL,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,12,7878a4f77a82af362aac1f34add737d1,Garrett Lindholm,ATL,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,12,f1c9d80b8e1ec30f54496ee011e580e0,Saverio Rocca,WAS,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,12,b8817266f0ba1972f2c62b80b0a306d8,Carlos Martinez,DAL,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,12,5385fbc996c826d3ca353055a314a268,Andrew Wellock,CAR,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,12,86d69e1242f8ba2e262635252328da8b,Mark Hickok,NYG,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,12,eb03eaa71f2972c05bab66b4ac987b03,Parker Douglass,NYJ,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,12,ecb5c94370b1e964cc3359cdc95ab791,Jason Sanders,NYG,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,12,1cf78f2b767ae610c486b459524004cb,Garrett Rivas,TB,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,12,7008065be8d6b4207ce1a741958b1208,Maddux Trujillo,BUF,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,12,97e45d3a088c2678251ee6598b25acba,MacKenzie Hoambrecker,SF,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,12,58f214b6996ffa399a47855c9c9b7da5,Cade York,NYJ,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,12,c8e7d9d7c79d64214efe75ccd5d391ad,Zac Derr,ATL,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,12,1562e046b08ac6dcf71f23044b264eef,Steven Weatherford,NYJ,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,12,0f8f52bb839cfba7485e45019b990cab,Ricky Schmit,SF,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,12,d01cbd8c8bea6068781f040236756b44,Piotr Czech,PIT,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,12,51f4c7c2f322a9e8e9aed8ad1d336e36,Jason Reda,CLE,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,11,5741016e52b58d0d13a65b5af0069534,Jason Myers,SEA,K,17.0,202.0,202.0,11.88,11.9,41.0,48.0
2025.0,11,c256a8277a46add96f771cf9f37555bd,Ka'imi Fairbairn,HOU,K,15.0,194.0,194.0,12.93,12.9,44.0,48.0
2025.0,11,42a3a483966399465d0469fe841d7643,Brandon Aubrey,DAL,K,17.0,187.6,187.6,11.04,11.0,36.0,42.0
2025.0,11,346225ca4cd48790d17590f2ea4c2abc,Cameron Dicker,LAC,K,17.0,170.0,170.0,10.0,10.0,38.0,41.0
2025.0,11,e0581f3f6fba10a908b64f7b88ba443e,Cam Little,JAC,K,17.0,164.0,164.0,9.65,9.6,30.0,34.0
2025.0,11,8ebb0a10af4063fc530c7d3a3a97845b,Will Reichard,MIN,K,17.0,159.0,159.0,9.35,9.4,33.0,35.0
2025.0,11,a042dc9a59f9da813afec02ae40cfe6c,Chase McLaughlin,TB,K,17.0,156.0,156.0,9.18,9.2,32.0,38.0
2025.0,11,2acc831acef51f2442ef00b37bbb7691,Jake Bates,DET,K,17.0,152.0,152.0,8.94,8.9,27.0,34.0
2025.0,11,0977fec5de0efab112de0c2089ef7a30,Chris Boswell,PIT,K,17.0,151.0,151.0,8.88,8.9,27.0,32.0
2025.0,11,101d6dbea571d1fbf6dbc7629640045c,Andy Borregales,NE,K,17.0,149.0,149.0,8.76,8.8,27.0,32.0
2025.0,11,6e088e88caf9bc73a8f6a7ef195e8681,Harrison Butker,KC,K,17.0,149.0,149.0,8.76,8.8,33.0,38.0
2025.0,11,816fd1e9978c5d6b0183708a6a150aeb,Tyler Loop,BAL,K,17.0,144.0,144.0,8.47,8.5,30.0,34.0
2025.0,11,e04adf7d0fd59ec6fd062fde3e8b6fad,Eddy Pineiro,SF,K,14.0,140.0,140.0,10.0,10.0,28.0,29.0
2025.0,11,550ff4d6410ff64bf830fff6aa0d62c0,Evan McPherson,CIN,K,17.0,136.0,136.0,8.0,8.0,25.0,28.0
2025.0,11,f65cf51ab183237c52657984188fc47a,Joey Slye,TEN,K,16.0,135.0,135.0,8.44,8.4,28.0,35.0
2025.0,11,4e2d3c9822f5a67fcef8dd3fe1e1099d,Wil Lutz,DEN,K,17.0,134.0,134.0,7.88,7.9,28.0,32.0
2025.0,11,4ccecad039a7e6fe847d6679fea045ce,Riley Patterson,MIA,K,17.0,132.0,132.0,7.76,7.8,27.0,29.0
2025.0,11,b5fed1f066a2dcd03f16e11f6ceb6d57,Cairo Santos,CHI,K,15.0,132.0,132.0,8.8,8.8,25.0,30.0
2025.0,11,77516da5c0c8ecb8222b21323eb2808e,Chad Ryland,ARI,K,17.0,130.0,130.0,7.65,7.6,25.0,33.0
2025.0,11,c58fdc055d9fa7d10aa957e2cf17647d,Blake Grupe,IND,K,16.0,129.0,129.0,8.06,8.1,29.0,37.0
2025.0,11,322e5a1757e21d4c7d86be90d6b9c4af,Nick Folk,ATL,K,16.0,127.0,127.0,7.94,7.9,28.0,29.0
2025.0,11,2989302d397b7a68e7fb36a3191fac80,Jake Elliott,PHI,K,17.0,116.0,116.0,6.82,6.8,20.0,27.0
2025.0,11,46b7da0fc45129bc5d269c46c0451c7f,Brandon McManus,GB,K,14.0,113.0,113.0,8.07,8.1,24.0,30.0
2025.0,11,d925a6276836f7478ba0d2d26ae68e9e,Andre Szmyt,CLE,K,17.0,112.0,112.0,6.59,6.6,24.0,27.0
2025.0,11,4bf5fd1732330249aea9aa73be87d2e1,Ryan Fitzgerald,CAR,K,17.0,111.0,111.0,6.53,6.5,24.0,29.0
2025.0,11,547c9595674184ed1d7f629a013c98c3,Matt Prater,FA,K,15.0,108.0,108.0,7.2,7.2,18.0,20.0
2025.0,11,85b7b13e233d71a71f771b284d83332c,Daniel Carlson,LV,K,17.0,103.0,103.0,6.06,6.1,22.0,27.0
2025.0,11,bdb4595b9992a2d91e764448286180fe,Zane Gonzalez,MIA,K,9.0,96.0,96.0,10.67,10.7,19.0,22.0
2025.0,11,858c9654e8ddbd76e9cc965dc20c0c3a,Matt Gay,LV,K,12.0,91.0,91.0,7.58,7.6,17.0,23.0
2025.0,11,3a56afa00457369c1c8768079c5a517d,Harrison Mevis,LAR,K,9.0,82.0,82.0,9.11,9.1,12.0,13.0
2025.0,11,f0a9b7b1ba8a04c09eccf19dc6ad04d6,Jake Moody,WAS,K,9.0,81.0,81.0,9.0,9.0,19.0,23.0
2025.0,11,a2b3facb46c41621a0125388798d71bb,Michael Badgley,FA,K,9.0,62.0,62.0,6.89,6.9,11.0,12.0
2025.0,11,e8aef17f22992baf20a4ed48ecd7e1c8,Charlie Smyth,NO,K,6.0,60.0,60.0,10.0,10.0,12.0,16.0
2025.0,11,34d22431e7d2be29cece839d051229c3,Joshua Karty,ARI,K,8.0,58.0,58.0,7.25,7.3,10.0,15.0
2025.0,11,282d4b04bcda03fcff06eadcf45f7974,Spencer Shrader,IND,K,5.0,57.0,57.0,11.4,11.4,13.0,14.0
2025.0,11,a824f579548cc6c8754017f5646df3a6,Parker Romo,FA,K,7.0,48.0,48.0,6.86,6.9,11.0,14.0
2025.0,11,384f26243368a48a6d8b8a8bd15d1207,Graham Gano,NYG,K,5.0,39.0,39.0,7.8,7.8,9.0,10.0
2025.0,11,431aadba792cdf98299bb1b88da6c172,Younghoe Koo,FA,K,6.0,33.0,33.0,5.5,5.5,6.0,9.0
2025.0,11,2598c231824d279642399e72f6a4dfc3,Ben Sauls,NYG,K,3.0,32.0,32.0,10.67,10.7,8.0,8.0
2025.0,11,bd28111992a581b48c01cd201ce51545,Matthew Wright,FA,K,4.0,22.0,22.0,5.5,5.5,5.0,5.0
2025.0,11,65cd7d77a93343a5bbbc5bc256b05039,Lucas Havrisik,GB,K,3.0,22.0,22.0,7.33,7.3,4.0,4.0
2025.0,11,0ae2acb1fb4c4f76d79f44cdfa57399e,Jude McAtamney,FA,K,4.0,15.0,15.0,3.75,3.8,2.0,2.0
2025.0,11,7008065be8d6b4207ce1a741958b1208,Maddux Trujillo,BUF,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,11,51f4c7c2f322a9e8e9aed8ad1d336e36,Jason Reda,CLE,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,11,ecb5c94370b1e964cc3359cdc95ab791,Jason Sanders,NYG,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,11,88f1743321f6a6b606285539a73eade9,Tyler Bass,BUF,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,11,f1c9d80b8e1ec30f54496ee011e580e0,Saverio Rocca,WAS,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,11,7dd3ba596af0f7815642e31307a23c4b,Lenny Krieg,NYJ,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,11,58f214b6996ffa399a47855c9c9b7da5,Cade York,NYJ,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,11,c8e7d9d7c79d64214efe75ccd5d391ad,Zac Derr,ATL,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,11,1562e046b08ac6dcf71f23044b264eef,Steven Weatherford,NYJ,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,11,0f8f52bb839cfba7485e45019b990cab,Ricky Schmit,SF,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,11,d01cbd8c8bea6068781f040236756b44,Piotr Czech,PIT,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,11,7878a4f77a82af362aac1f34add737d1,Garrett Lindholm,ATL,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,11,1cf78f2b767ae610c486b459524004cb,Garrett Rivas,TB,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,11,b8817266f0ba1972f2c62b80b0a306d8,Carlos Martinez,DAL,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,11,5385fbc996c826d3ca353055a314a268,Andrew Wellock,CAR,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,11,eb03eaa71f2972c05bab66b4ac987b03,Parker Douglass,NYJ,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,11,86d69e1242f8ba2e262635252328da8b,Mark Hickok,NYG,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,11,97e45d3a088c2678251ee6598b25acba,MacKenzie Hoambrecker,SF,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,11,3ea039fe61c5da271af89e0e4017068d,Andrew Jacas,SF,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,11,6f6429dc4f7a826d559ec168b0d89de8,Connor Hughes,DAL,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,10,5741016e52b58d0d13a65b5af0069534,Jason Myers,SEA,K,17.0,202.0,202.0,11.88,11.9,41.0,48.0
2025.0,10,c256a8277a46add96f771cf9f37555bd,Ka'imi Fairbairn,HOU,K,15.0,194.0,194.0,12.93,12.9,44.0,48.0
2025.0,10,42a3a483966399465d0469fe841d7643,Brandon Aubrey,DAL,K,17.0,187.6,187.6,11.04,11.0,36.0,42.0
2025.0,10,346225ca4cd48790d17590f2ea4c2abc,Cameron Dicker,LAC,K,17.0,170.0,170.0,10.0,10.0,38.0,41.0
2025.0,10,e0581f3f6fba10a908b64f7b88ba443e,Cam Little,JAC,K,17.0,164.0,164.0,9.65,9.6,30.0,34.0
2025.0,10,8ebb0a10af4063fc530c7d3a3a97845b,Will Reichard,MIN,K,17.0,159.0,159.0,9.35,9.4,33.0,35.0
2025.0,10,a042dc9a59f9da813afec02ae40cfe6c,Chase McLaughlin,TB,K,17.0,156.0,156.0,9.18,9.2,32.0,38.0
2025.0,10,2acc831acef51f2442ef00b37bbb7691,Jake Bates,DET,K,17.0,152.0,152.0,8.94,8.9,27.0,34.0
2025.0,10,0977fec5de0efab112de0c2089ef7a30,Chris Boswell,PIT,K,17.0,151.0,151.0,8.88,8.9,27.0,32.0
2025.0,10,101d6dbea571d1fbf6dbc7629640045c,Andy Borregales,NE,K,17.0,149.0,149.0,8.76,8.8,27.0,32.0
2025.0,10,6e088e88caf9bc73a8f6a7ef195e8681,Harrison Butker,KC,K,17.0,149.0,149.0,8.76,8.8,33.0,38.0
2025.0,10,816fd1e9978c5d6b0183708a6a150aeb,Tyler Loop,BAL,K,17.0,144.0,144.0,8.47,8.5,30.0,34.0
2025.0,10,e04adf7d0fd59ec6fd062fde3e8b6fad,Eddy Pineiro,SF,K,14.0,140.0,140.0,10.0,10.0,28.0,29.0
2025.0,10,550ff4d6410ff64bf830fff6aa0d62c0,Evan McPherson,CIN,K,17.0,136.0,136.0,8.0,8.0,25.0,28.0
2025.0,10,f65cf51ab183237c52657984188fc47a,Joey Slye,TEN,K,16.0,135.0,135.0,8.44,8.4,28.0,35.0
2025.0,10,4e2d3c9822f5a67fcef8dd3fe1e1099d,Wil Lutz,DEN,K,17.0,134.0,134.0,7.88,7.9,28.0,32.0
2025.0,10,b5fed1f066a2dcd03f16e11f6ceb6d57,Cairo Santos,CHI,K,15.0,132.0,132.0,8.8,8.8,25.0,30.0
2025.0,10,4ccecad039a7e6fe847d6679fea045ce,Riley Patterson,MIA,K,17.0,132.0,132.0,7.76,7.8,27.0,29.0
2025.0,10,77516da5c0c8ecb8222b21323eb2808e,Chad Ryland,ARI,K,17.0,130.0,130.0,7.65,7.6,25.0,33.0
2025.0,10,c58fdc055d9fa7d10aa957e2cf17647d,Blake Grupe,IND,K,16.0,129.0,129.0,8.06,8.1,29.0,37.0
2025.0,10,322e5a1757e21d4c7d86be90d6b9c4af,Nick Folk,ATL,K,16.0,127.0,127.0,7.94,7.9,28.0,29.0
2025.0,10,2989302d397b7a68e7fb36a3191fac80,Jake Elliott,PHI,K,17.0,116.0,116.0,6.82,6.8,20.0,27.0
2025.0,10,46b7da0fc45129bc5d269c46c0451c7f,Brandon McManus,GB,K,14.0,113.0,113.0,8.07,8.1,24.0,30.0
2025.0,10,d925a6276836f7478ba0d2d26ae68e9e,Andre Szmyt,CLE,K,17.0,112.0,112.0,6.59,6.6,24.0,27.0
2025.0,10,4bf5fd1732330249aea9aa73be87d2e1,Ryan Fitzgerald,CAR,K,17.0,111.0,111.0,6.53,6.5,24.0,29.0
2025.0,10,547c9595674184ed1d7f629a013c98c3,Matt Prater,FA,K,15.0,108.0,108.0,7.2,7.2,18.0,20.0
2025.0,10,85b7b13e233d71a71f771b284d83332c,Daniel Carlson,LV,K,17.0,103.0,103.0,6.06,6.1,22.0,27.0
2025.0,10,bdb4595b9992a2d91e764448286180fe,Zane Gonzalez,MIA,K,9.0,96.0,96.0,10.67,10.7,19.0,22.0
2025.0,10,858c9654e8ddbd76e9cc965dc20c0c3a,Matt Gay,LV,K,12.0,91.0,91.0,7.58,7.6,17.0,23.0
2025.0,10,3a56afa00457369c1c8768079c5a517d,Harrison Mevis,LAR,K,9.0,82.0,82.0,9.11,9.1,12.0,13.0
2025.0,10,f0a9b7b1ba8a04c09eccf19dc6ad04d6,Jake Moody,WAS,K,9.0,81.0,81.0,9.0,9.0,19.0,23.0
2025.0,10,a2b3facb46c41621a0125388798d71bb,Michael Badgley,FA,K,9.0,62.0,62.0,6.89,6.9,11.0,12.0
2025.0,10,e8aef17f22992baf20a4ed48ecd7e1c8,Charlie Smyth,NO,K,6.0,60.0,60.0,10.0,10.0,12.0,16.0
2025.0,10,34d22431e7d2be29cece839d051229c3,Joshua Karty,ARI,K,8.0,58.0,58.0,7.25,7.3,10.0,15.0
2025.0,10,282d4b04bcda03fcff06eadcf45f7974,Spencer Shrader,IND,K,5.0,57.0,57.0,11.4,11.4,13.0,14.0
2025.0,10,a824f579548cc6c8754017f5646df3a6,Parker Romo,FA,K,7.0,48.0,48.0,6.86,6.9,11.0,14.0
2025.0,10,384f26243368a48a6d8b8a8bd15d1207,Graham Gano,NYG,K,5.0,39.0,39.0,7.8,7.8,9.0,10.0
2025.0,10,431aadba792cdf98299bb1b88da6c172,Younghoe Koo,FA,K,6.0,33.0,33.0,5.5,5.5,6.0,9.0
2025.0,10,2598c231824d279642399e72f6a4dfc3,Ben Sauls,NYG,K,3.0,32.0,32.0,10.67,10.7,8.0,8.0
2025.0,10,65cd7d77a93343a5bbbc5bc256b05039,Lucas Havrisik,GB,K,3.0,22.0,22.0,7.33,7.3,4.0,4.0
2025.0,10,bd28111992a581b48c01cd201ce51545,Matthew Wright,FA,K,4.0,22.0,22.0,5.5,5.5,5.0,5.0
2025.0,10,0ae2acb1fb4c4f76d79f44cdfa57399e,Jude McAtamney,FA,K,4.0,15.0,15.0,3.75,3.8,2.0,2.0
2025.0,10,eb03eaa71f2972c05bab66b4ac987b03,Parker Douglass,NYJ,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,10,f1c9d80b8e1ec30f54496ee011e580e0,Saverio Rocca,WAS,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,10,ecb5c94370b1e964cc3359cdc95ab791,Jason Sanders,NYG,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,10,88f1743321f6a6b606285539a73eade9,Tyler Bass,BUF,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,10,7008065be8d6b4207ce1a741958b1208,Maddux Trujillo,BUF,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,10,7dd3ba596af0f7815642e31307a23c4b,Lenny Krieg,NYJ,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,10,58f214b6996ffa399a47855c9c9b7da5,Cade York,NYJ,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,10,c8e7d9d7c79d64214efe75ccd5d391ad,Zac Derr,ATL,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,10,1562e046b08ac6dcf71f23044b264eef,Steven Weatherford,NYJ,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,10,0f8f52bb839cfba7485e45019b990cab,Ricky Schmit,SF,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,10,d01cbd8c8bea6068781f040236756b44,Piotr Czech,PIT,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,10,51f4c7c2f322a9e8e9aed8ad1d336e36,Jason Reda,CLE,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,10,1cf78f2b767ae610c486b459524004cb,Garrett Rivas,TB,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,10,b8817266f0ba1972f2c62b80b0a306d8,Carlos Martinez,DAL,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,10,5385fbc996c826d3ca353055a314a268,Andrew Wellock,CAR,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,10,6f6429dc4f7a826d559ec168b0d89de8,Connor Hughes,DAL,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,10,86d69e1242f8ba2e262635252328da8b,Mark Hickok,NYG,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,10,97e45d3a088c2678251ee6598b25acba,MacKenzie Hoambrecker,SF,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,10,3ea039fe61c5da271af89e0e4017068d,Andrew Jacas,SF,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,10,7878a4f77a82af362aac1f34add737d1,Garrett Lindholm,ATL,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,9,5741016e52b58d0d13a65b5af0069534,Jason Myers,SEA,K,17.0,202.0,202.0,11.88,11.9,41.0,48.0
2025.0,9,c256a8277a46add96f771cf9f37555bd,Ka'imi Fairbairn,HOU,K,15.0,194.0,194.0,12.93,12.9,44.0,48.0
2025.0,9,42a3a483966399465d0469fe841d7643,Brandon Aubrey,DAL,K,17.0,187.6,187.6,11.04,11.0,36.0,42.0
2025.0,9,346225ca4cd48790d17590f2ea4c2abc,Cameron Dicker,LAC,K,17.0,170.0,170.0,10.0,10.0,38.0,41.0
2025.0,9,e0581f3f6fba10a908b64f7b88ba443e,Cam Little,JAC,K,17.0,164.0,164.0,9.65,9.6,30.0,34.0
2025.0,9,8ebb0a10af4063fc530c7d3a3a97845b,Will Reichard,MIN,K,17.0,159.0,159.0,9.35,9.4,33.0,35.0
2025.0,9,a042dc9a59f9da813afec02ae40cfe6c,Chase McLaughlin,TB,K,17.0,156.0,156.0,9.18,9.2,32.0,38.0
2025.0,9,2acc831acef51f2442ef00b37bbb7691,Jake Bates,DET,K,17.0,152.0,152.0,8.94,8.9,27.0,34.0
2025.0,9,0977fec5de0efab112de0c2089ef7a30,Chris Boswell,PIT,K,17.0,151.0,151.0,8.88,8.9,27.0,32.0
2025.0,9,101d6dbea571d1fbf6dbc7629640045c,Andy Borregales,NE,K,17.0,149.0,149.0,8.76,8.8,27.0,32.0
2025.0,9,6e088e88caf9bc73a8f6a7ef195e8681,Harrison Butker,KC,K,17.0,149.0,149.0,8.76,8.8,33.0,38.0
2025.0,9,816fd1e9978c5d6b0183708a6a150aeb,Tyler Loop,BAL,K,17.0,144.0,144.0,8.47,8.5,30.0,34.0
2025.0,9,e04adf7d0fd59ec6fd062fde3e8b6fad,Eddy Pineiro,SF,K,14.0,140.0,140.0,10.0,10.0,28.0,29.0
2025.0,9,550ff4d6410ff64bf830fff6aa0d62c0,Evan McPherson,CIN,K,17.0,136.0,136.0,8.0,8.0,25.0,28.0
2025.0,9,f65cf51ab183237c52657984188fc47a,Joey Slye,TEN,K,16.0,135.0,135.0,8.44,8.4,28.0,35.0
2025.0,9,4e2d3c9822f5a67fcef8dd3fe1e1099d,Wil Lutz,DEN,K,17.0,134.0,134.0,7.88,7.9,28.0,32.0
2025.0,9,b5fed1f066a2dcd03f16e11f6ceb6d57,Cairo Santos,CHI,K,15.0,132.0,132.0,8.8,8.8,25.0,30.0
2025.0,9,4ccecad039a7e6fe847d6679fea045ce,Riley Patterson,MIA,K,17.0,132.0,132.0,7.76,7.8,27.0,29.0
2025.0,9,77516da5c0c8ecb8222b21323eb2808e,Chad Ryland,ARI,K,17.0,130.0,130.0,7.65,7.6,25.0,33.0
2025.0,9,c58fdc055d9fa7d10aa957e2cf17647d,Blake Grupe,IND,K,16.0,129.0,129.0,8.06,8.1,29.0,37.0
2025.0,9,322e5a1757e21d4c7d86be90d6b9c4af,Nick Folk,ATL,K,16.0,127.0,127.0,7.94,7.9,28.0,29.0
2025.0,9,2989302d397b7a68e7fb36a3191fac80,Jake Elliott,PHI,K,17.0,116.0,116.0,6.82,6.8,20.0,27.0
2025.0,9,46b7da0fc45129bc5d269c46c0451c7f,Brandon McManus,GB,K,14.0,113.0,113.0,8.07,8.1,24.0,30.0
2025.0,9,d925a6276836f7478ba0d2d26ae68e9e,Andre Szmyt,CLE,K,17.0,112.0,112.0,6.59,6.6,24.0,27.0
2025.0,9,4bf5fd1732330249aea9aa73be87d2e1,Ryan Fitzgerald,CAR,K,17.0,111.0,111.0,6.53,6.5,24.0,29.0
2025.0,9,547c9595674184ed1d7f629a013c98c3,Matt Prater,FA,K,15.0,108.0,108.0,7.2,7.2,18.0,20.0
2025.0,9,85b7b13e233d71a71f771b284d83332c,Daniel Carlson,LV,K,17.0,103.0,103.0,6.06,6.1,22.0,27.0
2025.0,9,bdb4595b9992a2d91e764448286180fe,Zane Gonzalez,MIA,K,9.0,96.0,96.0,10.67,10.7,19.0,22.0
2025.0,9,858c9654e8ddbd76e9cc965dc20c0c3a,Matt Gay,LV,K,12.0,91.0,91.0,7.58,7.6,17.0,23.0
2025.0,9,3a56afa00457369c1c8768079c5a517d,Harrison Mevis,LAR,K,9.0,82.0,82.0,9.11,9.1,12.0,13.0
2025.0,9,f0a9b7b1ba8a04c09eccf19dc6ad04d6,Jake Moody,WAS,K,9.0,81.0,81.0,9.0,9.0,19.0,23.0
2025.0,9,a2b3facb46c41621a0125388798d71bb,Michael Badgley,FA,K,9.0,62.0,62.0,6.89,6.9,11.0,12.0
2025.0,9,e8aef17f22992baf20a4ed48ecd7e1c8,Charlie Smyth,NO,K,6.0,60.0,60.0,10.0,10.0,12.0,16.0
2025.0,9,34d22431e7d2be29cece839d051229c3,Joshua Karty,ARI,K,8.0,58.0,58.0,7.25,7.3,10.0,15.0
2025.0,9,282d4b04bcda03fcff06eadcf45f7974,Spencer Shrader,IND,K,5.0,57.0,57.0,11.4,11.4,13.0,14.0
2025.0,9,a824f579548cc6c8754017f5646df3a6,Parker Romo,FA,K,7.0,48.0,48.0,6.86,6.9,11.0,14.0
2025.0,9,384f26243368a48a6d8b8a8bd15d1207,Graham Gano,NYG,K,5.0,39.0,39.0,7.8,7.8,9.0,10.0
2025.0,9,431aadba792cdf98299bb1b88da6c172,Younghoe Koo,FA,K,6.0,33.0,33.0,5.5,5.5,6.0,9.0
2025.0,9,2598c231824d279642399e72f6a4dfc3,Ben Sauls,NYG,K,3.0,32.0,32.0,10.67,10.7,8.0,8.0
2025.0,9,65cd7d77a93343a5bbbc5bc256b05039,Lucas Havrisik,GB,K,3.0,22.0,22.0,7.33,7.3,4.0,4.0
2025.0,9,bd28111992a581b48c01cd201ce51545,Matthew Wright,FA,K,4.0,22.0,22.0,5.5,5.5,5.0,5.0
2025.0,9,0ae2acb1fb4c4f76d79f44cdfa57399e,Jude McAtamney,FA,K,4.0,15.0,15.0,3.75,3.8,2.0,2.0
2025.0,9,d01cbd8c8bea6068781f040236756b44,Piotr Czech,PIT,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,9,6f6429dc4f7a826d559ec168b0d89de8,Connor Hughes,DAL,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,9,3ea039fe61c5da271af89e0e4017068d,Andrew Jacas,SF,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,9,88f1743321f6a6b606285539a73eade9,Tyler Bass,BUF,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,9,7008065be8d6b4207ce1a741958b1208,Maddux Trujillo,BUF,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,9,7dd3ba596af0f7815642e31307a23c4b,Lenny Krieg,NYJ,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,9,58f214b6996ffa399a47855c9c9b7da5,Cade York,NYJ,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
2025.0,9,c8e7d9d7c79d64214efe75ccd5d391ad,Zac Derr,ATL,K,0.0,0.0,0.0,NaN,0.0,0.0,0.0
